epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,803.539,1.02949,0.65289,0.97016,0.82023,0.41697,0.43238,0.33565,1.1781,0.72788,1.00898,0.000577782,0.000577782,0.000577782
68,821.703,1.02337,0.67519,0.98415,0.9284,0.62807,0.66223,0.48681,1.18097,0.72091,1.00804,0.000561279,0.000561279,0.000561279
69,837.243,0.98261,0.63887,0.97795,0.89748,0.92225,0.94881,0.69805,1.18097,0.72091,1.00804,0.000544776,0.000544776,0.000544776
70,854.836,1.01863,0.64458,0.97916,0.85164,0.41309,0.43549,0.33261,1.17582,0.71469,1.00701,0.000528272,0.000528272,0.000528272
71,875.463,0.98311,0.6301,0.97567,0.85847,0.4124,0.43484,0.33736,1.16847,0.70763,1.00689,0.000511769,0.000511769,0.000511769
72,893.931,1.04848,0.64379,0.96669,0.90411,0.61393,0.64789,0.49587,1.16488,0.70646,1.00831,0.000495266,0.000495266,0.000495266
73,911.321,1.00388,0.66899,0.9774,0.9004,0.90857,0.94714,0.72167,1.16488,0.70646,1.00831,0.000478762,0.000478762,0.000478762
74,929.992,0.99938,0.6312,0.96204,0.85862,0.4084,0.43352,0.34978,1.15946,0.705,1.0067,0.000462259,0.000462259,0.000462259
75,949.279,1.00995,0.63778,0.9846,0.90917,0.61378,0.64805,0.5004,1.15586,0.70329,1.00474,0.000445756,0.000445756,0.000445756
76,968.024,1.01332,0.66074,0.99409,0.89973,0.61632,0.64793,0.50632,1.15626,0.70852,1.00314,0.000429253,0.000429253,0.000429253
77,984.191,1.04444,0.63591,0.97637,0.9072,0.89714,0.94674,0.72758,1.15626,0.70852,1.00314,0.000412749,0.000412749,0.000412749
78,1001.01,1.01048,0.63199,0.97518,0.90409,0.61496,0.64835,0.50405,1.15642,0.70712,1.00298,0.000396246,0.000396246,0.000396246
79,1020.75,1.01317,0.64596,0.96934,0.90901,0.61601,0.64877,0.50501,1.15091,0.69846,1.002,0.000379743,0.000379743,0.000379743
80,1037.14,0.99338,0.61346,0.9659,0.91725,0.63139,0.6611,0.51971,1.14741,0.69111,1.00271,0.000363239,0.000363239,0.000363239
81,1052.28,1.008,0.64739,0.99423,0.92781,0.9,0.94796,0.72888,1.14741,0.69111,1.00271,0.000346736,0.000346736,0.000346736
82,1069.86,1.03139,0.64269,1.00265,0.90711,0.61664,0.64869,0.51157,1.14397,0.69031,1.00371,0.000330233,0.000330233,0.000330233
83,1088.22,1.03544,0.64272,0.96404,0.91303,0.61664,0.64925,0.51288,1.13707,0.68737,1.00174,0.000313729,0.000313729,0.000313729
84,1106.37,1.02895,0.65467,0.9752,0.9132,0.61694,0.64844,0.51013,1.13403,0.69095,1.00057,0.000297226,0.000297226,0.000297226
85,1119.82,0.98048,0.62652,0.96392,0.93758,0.90286,0.94759,0.73917,1.13403,0.69095,1.00057,0.000280723,0.000280723,0.000280723
86,1138.37,1.04391,0.65948,0.9651,0.91372,0.61664,0.64872,0.51227,1.13485,0.69455,1.00066,0.00026422,0.00026422,0.00026422
87,1153.62,0.99216,0.63088,0.96763,0.9128,0.61664,0.64842,0.50762,1.13508,0.69506,1.00018,0.000247716,0.000247716,0.000247716
88,1167.03,1.0081,0.61499,0.9569,0.87213,0.41412,0.43426,0.35377,1.1367,0.69577,0.9998,0.000231213,0.000231213,0.000231213
89,1187.67,1.00235,0.62675,0.97399,0.92515,0.6928,0.72129,0.57184,1.1367,0.69577,0.9998,0.00021471,0.00021471,0.00021471
90,1204.61,0.97662,0.67841,0.97491,0.92176,0.62944,0.65934,0.51975,1.14013,0.69501,0.99984,0.000198206,0.000198206,0.000198206
91,1221.26,0.95871,0.73337,0.96568,0.9176,0.69207,0.72039,0.57213,1.14232,0.69323,0.99913,0.000181703,0.000181703,0.000181703
92,1240.79,0.9697,0.80523,0.99089,0.91364,0.6195,0.64802,0.50572,1.14629,0.69427,0.99831,0.0001652,0.0001652,0.0001652
93,1277.9,0.98516,0.79932,0.95902,0.89795,0.92286,0.94481,0.73045,1.14629,0.69427,0.99831,0.000148696,0.000148696,0.000148696
94,1293.27,0.95011,0.79319,0.95777,0.93027,0.61648,0.64867,0.50578,1.15017,0.69697,0.9972,0.000132193,0.000132193,0.000132193
95,1310.8,0.96358,0.74296,0.96901,0.80137,0.42555,0.43535,0.35225,1.1482,0.69975,0.99486,0.00011569,0.00011569,0.00011569
96,1401.46,0.99341,0.72041,0.95396,0.80888,0.4284,0.43547,0.35269,1.15055,0.70519,0.99411,9.91865e-05,9.91865e-05,9.91865e-05
97,1415.89,0.94655,0.68368,0.94496,0.89649,0.92051,0.94665,0.72597,1.15055,0.70519,0.99411,8.26832e-05,8.26832e-05,8.26832e-05
98,1430.98,0.94436,0.68619,0.9617,0.8079,0.4284,0.43549,0.35341,1.15072,0.70869,0.9938,6.61799e-05,6.61799e-05,6.61799e-05
99,1486.86,0.97734,0.95838,0.97519,0.9231,0.61664,0.64944,0.50334,1.15124,0.71402,0.99408,4.96766e-05,4.96766e-05,4.96766e-05
100,1502.13,0.90858,0.71866,0.96127,0.82104,0.431,0.43937,0.35326,1.15057,0.71876,0.99383,3.31733e-05,3.31733e-05,3.31733e-05
